SubPartidas Arancelarias,Descripción del producto
120510,Semillas de nabo nabina o de colza con bajo contenido de ácido erúcico de las que se obtie
120590,Semillas de nabo nabina o de colza con alto contenido de ácido erúcico de las que se obtie
120600,semillas de girasol (maravilla; helianthus annuus l.)
120710,"nuez y almendra de palma, incluso quebrantadas."
120720,"semilla de algodon, incluso quebrantada."
120730,"semilla de ricino, incluso quebrantada."
120740,"semilla de sesamo (ajonjoli), incluso quebrantada."
120750,"semilla de mostaza, incluso quebrantada."
120760,"semilla de cartamo, incluso quebrantada."
120791,"semilla de amapola (adormidera), incluso quebrantada."
120792,"semilla de karite, incluso quebrantada."
120799,las demas semillas incluso quebrantados.
120810,harina de habas de soja.
120890,"las demas harinas de semillas o de frutos oleaginosos, excepto la de m"
120910,"Semilla de remolacha azucarera, para siembra"
120911,"semilla de remolacha azucarera, para siembra."
120919,"las demas semillas de remolacha, excepto azucarera, para la siembra."
120921,semilla de alfalfa
120922,semilla de trebol
120923,semillas de festucas
120924,"semilla forrajera de pasto azul de kentucky, para siembra."
120925,"semilla forrajera de ballico, para siembra."
120926,"semilla forrajera de fleo de los prados, para siembra."
120929,semillas de forrajeras
120930,semillas de plantas herbaceas utilizadas principalmente por sus flores
120991,"semillas de legumbres y hortalizas,"
120999,"las demas semillas, frutos y espora"
121010,"conos de lupulo sin quebrantar ni moler ni en pellets, frescos o secos"
121020,"conos de lupulo quebrantados, molidos o en pellets, frescos o secos"
121110,"raices de regaliz, frescos o secos, incluso cortadas, trituradas o pul"
121120,"raices de ginseng, frescas o secas, incluso cortadas, triturados o pul"
121130,"Hojas de coca, frescas o secas, incl. cortadas, trituradas o pulverizadas"
121140,"Paja de adormidera, fresca o seca, incl. cortada, triturada o pulverizada"
121190,"las demas plantas, partes de plantas"
121210,"algarrobas y sus semillas, frescas o secas, incluso pulverizadas."
121220,"algas, frescas o secas, incluso pulverizadas"
121230,"huesos y almendras de albaricoque, de melocoton o durazno, o de ciruel"
121291,"remolacha azucarera, fresca o seca, incluso pulverizada."
121292,"cana de azucar, fresca o seca, incluso pulverizada."
121299,los demas productos vegetales empleados principalmente en alimentacion
121300,"paja y cascabillo de cereales, en bruto, incluso picados, molidos, pre"
121410,harina y pellets de alfalfa.
121490,los demas productos forrajeros similares
130110,goma laca.
130120,goma arabiga.
130190,"las demas gomas, resinas, gomorresinas y balsamos"
130211,jugos y extractos de opio.
130212,jugos y extractos de regaliz.
130213,jugos y extractos de lupulo.
130214,jugos y extractos de pelitre (piretro) o de raices que contengan roten
130219,los demas jugos y extractos vegetales.
130220,"materias pecticas, pectinatos y pectatos."
130231,agar-agar
130232,"mucilagos y espesativos de la algarroba o de guar, incluso modificados"
130239,"los demas mucilagos y espesativos derivados de los vegetales, incluso"
140110,bambu.
140120,roten
140190,las demas materias vegetales utilizadas en cesteria
140200,"«Kapok» [miraguano de bombacáceas], crin vegetal, crin marina y demás materias vegetales d"
140210,miraguano.
140290,las demas materias vegetales de las especies utilizadas para relleno
