SubPartidas Arancelarias,Descripción del producto
140300,"Sorgo, piasava, grama, ixtle tampico y demás materias vegetales de las especies utilizadas"
140310,sorgo para escobas.
140390,"las demas materias vegetales utilizadas en la fabricacion de escobas,"
140410,materias primas vegetales de las utilizadas para tenir o curtir.
140420,linteres de algodon.
140490,los demas productos vegetales no expresados ni comprendidos en otras m
150100,"manteca de cerdo; las demas grasas de cerdo y grasas de aves, fundidas"
150200,"grasas de animales de las especies bovina, ovina o caprina, en bruto o"
150300,"estearina solar, aceite de manteca de cerdo, oleoestearina, oleomargar"
150410,"aceites de higado de pescado y sus fracciones, incluso refinados, pero"
150420,"aceites y grasas de pescado y sus fracciones, excepto los aceites de h"
150430,"grasas y aceites de mamiferos marinos y sus fracciones, incluso refina"
150500,"Grasa de lana y sustancias grasas derivadas, incl. la lanolina"
150510,grasa de lana en bruto (suarda y suintina).
150590,"las demas sustancias grasas derivadas, incluida la lanolina."
150600,"las demas grasas y aceites animales, y sus fracciones, incluso refinad"
150710,"aceite de soja en bruto, incluso desgomado."
150790,"los demas aceites de soja y sus fracciones, incluso refinados, pero si"
150810,"aceite de cacahuate o mani, en bruto."
150890,"los demas aceites de cacahuate o mani y sus fracciones, incluso refina"
150910,"aceite de oliva, virgen."
150990,"los demas aceites de oliva y sus fracciones, incluso refinado, pero si"
151000,"los demas aceites obtenidos exclusivamente de la aceituna, y sus fracc"
151110,"aceite de palma, en bruto."
151190,los demas aceites de palma y sus fracciones.
151211,"aceite de girasol o de cartamo, y sus fracciones en bruto"
151219,los demas aceites de girasol o de cartamo y sus fracciones
151221,"aceite de algodon y sus fracciones, en bruto, incluso sin el gosipol."
151229,los demas aceites de algodon y sus fracciones
151311,"aceite de coco y sus fracciones, en bruto."
151319,los demas acietes de cocos y sus fracciones.
151321,"aceites de palmiste o de babasu y sus fracciones, en bruto."
151329,"los demas aceites de palmiste o de babasu, y sus fracciones"
151410,"aceites de nabina, de colza o de mostaza, y sus fracciones, en bruto."
151411,Aceites de nabo nabina o colza con bajo contenido de ácido erúcico aceite fijo con un cont
151419,Aceites de nabo nabina o colza con bajo contenido de ácido erúcico aceite fijo con un cont
151490,"los demas aceites de nabina, de colza o de mostaza y sus fracciones"
151491,Aceites de nabo nabina y colza con alto contenido de ácido erúcico aceite fijo con un cont
151499,Aceites de nabo nabina y colza con alto contenido de ácido erúcico aceite fijo con un cont
151511,"aceite de linaza y sus fracciones, en bruto."
151519,los demas aceite de linaza y sus fracciones
151521,"aceite de maiz y sus fracciones, en bruto."
151529,los demas aceite de maiz y sus fracciones
151530,aceite de ricino y sus fracciones
151540,aceite de tung y sus fracciones
151550,aceite de sesamo (ajonjoli) y sus fracciones
151560,aceite de jojoba y sus fracciones
151590,los demas aceites y grasas vegetales
151610,"grasas y aceites, animales, y sus fracciones"
151620,"grasas y aceites vegetales, y sus fracciones."
151710,"margarinas, con exclusion de la margarina liquida."
151790,"las demas preparaciones alimenticias de grasas o de aceites, animales"
151800,"grasas y aceites de animales o vegetales y sus fracciones, cocidos, ox"
152000,glicerol en bruto; aguas y lejias glicerinosas.
152110,ceras vegetales.
152190,las demas ceras vegetales
152200,degras; residuos del tratamiento de las grasas o de las ceras animales
160100,"embutidos y productos similares, de carne, de despojos o de sangre; pr"
160210,"preparaciones homogeneizadas, de carne, de despojos o de sangre."
160220,preparaciones o conservas de higado de cualquier animal.
160231,"preparaciones y conservas, de pavo."
160232,"las demas preparaciones y conservas de carne, despojos de gallo,gallin"
160239,las demas preparaciones de aves de la partida 0105
160241,"jamones y trozos de jamon, de la especie porcina"
160242,"paletas y trozos de paleta, de porcinos."
160249,"las demas preparaciones y conservas, de porcino, incluidas las mezclas"
160250,"preparaciones y conservas, de la especie bovina."
160290,"las demas preparaciones y conservas de carne, de despojos o de sangre"
160300,"extractos y jugos de carne, de pescado o de crustaceos, de moluscos o"
160411,"salmon en conserva, entero o en trozos"
160412,"arenques enteros o en trozos, excepto picado; preparados o en conserva"
160413,"sardinas, sardinelas y espadines en conserva, entero o en trozos."
160414,"atunes, listados y bonitos en conserva, enteros o en trozos"
160415,"caballa en conserva, entero o en trozos"
160416,"anchoas en conserva , entero o en trozos"
160419,preparaciones y conservas de los demas pescados enteros o en trozos.
160420,las demas preparaciones y conservas de pescados
160430,caviar y sus sucedaneos
160510,cangrejos de mar preparados o conservados.
160520,"camarones, langostinos, quisquillas y gambas preparados o conservados."
160530,bogavantes preparados o conservados.
160540,los demas crustaceos preparados o conservados.
160590,los demas crustaceos preparados o conservados
170111,"azucar de cana en bruto sin aromatizar ni colorear, en estado solido."
170112,"azucar de remolacha en bruto sin aromatizar ni colorear, en estado sol"
170191,las demas azucar aromatizados o coloreados.
170199,las demas azucar de caña o de remolacha y sacarosa quimicamente puras.
170211,lactosa y jarabe de lactosa con un contenido de lactosa superior o igu
170219,"los demas azucares, incluidas la lactosa, maltosa, glucosa y fructuosa"
170220,azucar y jarabe de arce.
170230,"glucosa y jarabe de glucosa, sin fructosa o con contenido de fructuosa"
170240,"glucosa y jarabe de glucosa, con contenido fructosa superior o igual a"
170250,fructosa quimicamente pura.
170260,"las demas fructosas y jarabe de fructosa, con contenido fructosa s, en"
170290,"los demas, incluido el azucar invertido"
170310,melaza de cana de azucar.
170390,las demas melazas de la extraccion o del refinado del azucar.
170410,"goma de mascar (chicles), incluso recubierta de azucar."
170490,los demas articulos de confiteria sin cacao
180100,"cacao en grano, entero o partido crudo o tostado."
180200,"cascara, cascarilla, peliculas y demas residuos de cacao."
180310,"pasta de cacao, sin desgrasar"
180320,"pasta de cacao, desgrasada total o parcialmente."
180400,"manteca, grasa y aceite de cacao"
180500,cacao en polvo sin azucarar ni edulcorar de otro modo
180610,"cacao en polvo, azucarado o edulcorado de otro modo"
180620,"las demas preparaciones alimenticias que contengan cacao, con un peso"
180631,"los demas chocolates, en bloques, en tabletas o en barras, rellenos."
180632,"los demas chocolates, en bloques, en tabletas o en barras sin rellenar"
180690,los demas chocolates y demas preparaciones alimenticias que contengan
190110,preparaciones para la alimentacion infantil acondicionadas para la ven
190120,"mezclas y pastas para la preparacion de productos de panaderia, pastel"
190190,"las demas preparaciones alimenticias de harina, semola, almidon fecula"
190211,"pastas alimenticias sin cocer, rellenar ni preparar de otra forma que"
190219,"las demas pastas alimenticias sin cocer, rellenar ni preparar de otra"
190220,"pastas alimenticias rellenas, incluso cocidas o preparadas de otra for"
190230,las demas pastas alimenticias
190240,cuscus
190300,"tapioca y sus sucedaneos preparados con fecula, en copos, grumos, gran"
190410,"productos a base de cereales, obtenidos por insuflado o tostado."
190420,preparaciones alimenticias obtenidas con copos de cereales sin tostar
190430,"Trigo bulgur en forma de granos trabajados, obtenidos cociendo granos de trigo duro"
190490,los demas productos a base de cereales obtenidos por insuflado o tosta
190510,pan crujiente llamado knackebrot
190520,pan de especias.
190530,"galletas dulces; gaufres o waffles, barquillos y obleas."
190531,Galletas dulces (con adición de edulcorante)
190532,"Barquillos y obleas, incluso rellenos gaufrettes, wafers y waffles [gaufres]"
190540,pan tostado y productos similares tostados.
190590,"los demas productos de panaderia, pasteleria o galleteria."
200110,"pepinos y pepinillos, preparados o conservados en vinagre o en acido a"
200120,"cebollas, preparadas o conservadas en vinagre o en acido acetico."
200190,las demas legumbres y hortalizas preparadas o conservadas en vinagre o
200210,"tomates entero o en trozos, preparados o conservados."
200290,los demas tomates preparados o conservados
200310,"setas preparadas o en conserva, excepto en vinagre o acido acético"
200320,"trufas, preparadas o conservadas, excepto en vinagre o acido acetico."
200390,"Setas y demás hongos, preparadas o conservadas sin vinagre ni ácido acético (exc. del géne"
200410,"patatas (papas), preparadas o conservadas, excepto vinagre o acido ace"
200490,las demas legumbres u hortalizas y las mezclas de hortalizas y/o legum
200510,"legumbres u hortalizas homogeneizadas, preparadas o conservadas, sin c"
200520,"patatas, preparadas o conservadas (excepto en vinagre o ac. acet,),sin"
200540,"arvejas preparadas o conservadas (excepto en vinagre o acido acetico),"
200551,"alubias desvainadas, preparadas o conservadas, excepto en vinagre, sin"
200559,"las demas alubias desvainadas, preparadas o conservadas, excepto en vi"
200560,esparragos preparados o conservados ( excepto en vinagre o en acido ac
200570,"aceitunas preparadas o conservadas sin vinagre ni acido acético, sin c"
200580,"maiz dulce, preparado o conservado (excepto en vinagre o acido acetico"
200590,las demas legumbres u hortalizas y las mezclas de hortalizas y/o legum
200591,"Las demás hortalizas preparadas o conservadas (excepto en vinagre o en ácido acético), sin"
200599,"Las demás hortalizas preparadas o conservadas (excepto en vinagre o en ácido acético), sin"
200600,"frutos cortezas de frutas y demas partes de plantas, confitados con az"
200710,"preparaciones homogeneizadas, obtenidos por coccion, incluso azucarado"
200791,"preparaciones homogenizadas de agrios, incluso azucarados o edulcorado"
200799,"las demas compotas, jaleas, mermeladas, pures y pastas de frutas"
200811,"manies y cacahuates preparados o en conserva, incluso azucarados o edu"
200819,"los demas, incluidas las mezclas preparadas o conservados"
200820,pinas conservadas o preparadas.
200830,"agrios preparados o conservados, incluso azucarado o edulcorados o con"
200840,"peras preparadas o en conserva, congeladas con adicion de azucar"
200850,"damascos preparados o en conserva, al natural o en almibar"
200860,"cerezas preparadas o conservadas, de otra forma, incluso azucarados"
200870,"melocotones o duraznos, preparados o conservados"
200880,frutillas preparadas o coservadas de otra forma incluso azucarados
200891,"palmitos, preparados o conservados o con alcohol."
200892,"fruta mixta en conserva, al natural o en almibar"
200899,"las demas frutas preparadas o en conserva, al natural o en almibar ."
200911,"jugo de naranja, congelado, sin fermentar y sin alcohol."
200912,"Jugo de naranja, sin fermentar y sin adición de alcohol, incl. con adición de azúcar u otr"
200919,otros jugos de naranja
200920,"jugo de toronja o pomelo, sin fermentar y sin alcohol, incluso azucara"
200921,"Jugo de toronja o de pomelo, sin fermentar y sin adición de alcohol, incl. con adición de"
200929,"Jugo de toronja o de pomelo, sin fermentar y sin adición de alcohol, incl. con adición de"
200930,"jugo de los demas agrios, sin fermentar y sin alcohol, incluso azucara"
200931,"Jugo de agrios cítricos, sin fermentar y sin adición de alcohol, incl. con adición de azúc"
200939,"Jugo de agrios cítricos, sin fermentar y sin adición de alcohol, incl. con adición de azúc"
200940,jugo de piña
200941,"Jugo de piña ananá, sin fermentar y sin adición de alcohol, incl. con adición de azúcar u"
200949,"Jugo de piña ananá, sin fermentar y sin adición de alcohol, incl. con adición de azúcar u"
200950,jugo de tomates
200960,jugo (mosto) de uvas
200961,"Jugo de uva, incl. el mosto, sin fermentar y sin adición de alcohol, incl. con adición de"
200969,"Jugo de uva, incl. el mosto, sin fermentar y sin adición de alcohol, incl. con adición de"
200970,jugo de manzanas
200971,"Jugo de manzana, sin fermentar y sin adición de alcohol, incl. con adición de azúcar u otr"
200979,"Jugo de manzana, sin fermentar y sin adición de alcohol, incl. con adición de azúcar u otr"
200980,jugo de las demas frutas o de legumbres u hortalizas
200990,"mezclas de jugos, sin fermentar y sin alcohol, incluso azucarados."
210111,"extractos, esencias y concentrados a base de cafe"
210112,"preparaciones a base de extractos, esencias o concentrados de cafe."
210120,"extractos, esencias y concentrados de te o yerba mate y preparaciones"
210130,"achicoria tostada y demas sucedaneos del cafe tostado y sus extractos,"
210210,levaduras vivas
210220,"levaduras muertas, los demas microorganismos monocelulares muertos"
210230,levaduras artificiales (polvos para hornear)
210310,"salsa de soja, preparadas."
