code,service
842191,Limpieza o remediación de suelo y agua
842199,Manejo de aguas residuales. Control de la contaminación del aire
842220,Utilizado para el tratamiento o reciclaje de residuos sólidos
842290,Gestión y reciclado de residuos solidos y residuos peligrosos
842381,Manejo de aguas residuales
842382,Manejo de aguas residuales
842389,Manejo de aguas residuales
842490,"Control de la contaminación del aire, Manejo de aguas residuales"
842833,Utilizado para el tratamiento o reciclaje de residuos sólidos
842940,Gestión y reciclado de residuos solidos y residuos peligrosos
846291,Gestión y reciclado de residuos solidos y residuos peligrosos
846596,Gestión y reciclado de residuos solidos y residuos peligrosos
846599,Gestión y reciclado de residuos solidos y residuos peligrosos
846694,Gestión y reciclado de residuos solidos y residuos peligrosos
847120,"Baja emisión de CO2, utilizando menos electricidad"
847192,"Baja emisión de CO2, utilizando menos electricidad"
847193,"Baja emisión de CO2, utilizando menos electricidad"
847410,"Captura y almacenamiento de carbono, tecnologías de consumo eficiente de energía"
847420,Utilizado para el tratamiento o reciclaje de residuos sólidos.
847431,"Captura y almacenamiento de carbono, tecnologías de consumo eficiente de energía"
847432,"Captura y almacenamiento de carbono, tecnologías de consumo eficiente de energía"
847439,"Captura y almacenamiento de carbono, tecnologías de consumo eficiente de energía"
847480,"Captura y almacenamiento de carbono, tecnologías de consumo eficiente de energía"
847490,"Captura y almacenamiento de carbono, tecnologías de consumo eficiente de energía"
847710,"Captura y almacenamiento de carbono, tecnologías de consumo eficiente de energía"
847720,"Captura y almacenamiento de carbono, tecnologías de consumo eficiente de energía"
847730,"Captura y almacenamiento de carbono, tecnologías de consumo eficiente de energía"
847740,"Captura y almacenamiento de carbono, tecnologías de consumo eficiente de energía"
847751,"Captura y almacenamiento de carbono, tecnologías de consumo eficiente de energía"
847759,"Captura y almacenamiento de carbono, tecnologías de consumo eficiente de energía"
847780,"Captura y almacenamiento de carbono, tecnologías de consumo eficiente de energía"
847790,"Captura y almacenamiento de carbono, tecnologías de consumo eficiente de energía"
847920,"Energías renovables, productos renovables y fuentes de energía"
847982,Utilizado para el tratamiento o reciclaje de residuos sólidos
847989,"Máquinas y aparatos diseñados para una amplia gama de áreas de gestión medioambiental que incluyen residuos, aguas residuales, producción de agua potable y remediación de suelos. Los sistemas de compostaje en recipientes pueden manejar grandes cantidades de desechos y acelerar la descomposición. Los compactadores de basura reducen el volumen de residuos sólidos, lo que permite un transporte y una eliminación más eficientes. "
847990,"Máquinas y aparatos diseñados para una amplia gama de áreas de gestión medioambiental que incluyen residuos, aguas residuales, producción de agua potable y remediación de suelos. Los sistemas de compostaje en recipientes pueden manejar grandes cantidades de desechos y acelerar la descomposición. Los compactadores de basura reducen el volumen de residuos sólidos, lo que permite un transporte y una eliminación más eficientes. "
848110,Para manipulación y transporte de aguas residuales o lodos durante el tratamiento
848120,Manejo de aguas residuales y potabilización del agua
848130,Para manipulación y transporte de aguas residuales o lodos durante el tratamiento
848140,Para manipulación y transporte de aguas residuales o lodos durante el tratamiento
848180,Manejo de aguas residuales y potabilización del agua
